<!DOCTYPE html>
### LOS PADRES NATIONAL FOREST
Arroyo Seco                                                 231958
Ballinger Campground                                        273873
Campo Alto Campground                                       273842
Cerro Alto Campground                                       233117
China Camp Campground                                       273878
Chuchupate Campground                                       273876
Davy Brown Campground                                       273817
Escondido Campground                                        273869
Fremont Campground                                          234106
Holiday Group Campground                                    232342
Kirk Creek Campground                                       233116
La Panza Campground                                         273870
Los Prietos                                                 234001
McGill Campground and Group Campground                      231962
Memorial Campground                                         273874
Middle Lion Campground                                      273867
Mt. Figueroa Campground                                     273879
Mt. Pinos Campground                                        273875
Navajo Flats Campground                                     273872
Nira Campground                                             273871
Paradise Campground                                         233870
Pine Mountain Campground                                    273843
Plaskett Creek Campground                                   231959
Ponderosa Campground                                        233118
Reyes Creek Campground                                      273877
Reyes Peak Campground                                       273844
Rose Valley Campground                                      273845
Sage Hill                                                   231960
Turkey Flat Ohv Staging Area                                273846
Upper Oso Campground                                        231961
Wheeler Gorge                                               232138
White Oaks Campground                                       273819
231958 273873 273842 233117 273878 273876 273817 273869 234106 232342 233116 273870 234001 231962 273874 273867 273879 273875 273872 273871 233870 273843 231959 233118 273877 273844 273845 231960 273846 231961 232138 273819

### PLUMAS NATIONAL FOREST
Big Cove                                                    232824
Black Mountain Lookout                                      233296
Boulder Creek                                               232915
Chilcoot                                                    232826
Cottonwood                                                  232828
Crocker Guard Station                                       251855
Frenchman                                                   232137
Grasshopper Flat                                            232830
Grizzly                                                     232833
Greenville Campground                                       10008944
Hallsted                                                    232265
Horse Campground                                            233729
Hutchins                                                    232266
Lakes Basin                                                 231963
Lightning Tree                                              232832
Little Beaver A Campground                                  251445
Lone Rock                                                   232913
Long Point                                                  232914
Red Feather                                                 232267
Running Deer                                                233728
232824 233296 232915 232826 232828 251855 232137 232830 232833 10008944 232265 233729 232266 231963 232832 251445 232913 232914 232267 233728

### LAKE TAHOE BASIN MANAGEMENT UNIT
Fallen Leaf Campground:                                     232769
Kaspian Campground:                                         232875
Meeks Bay:                                                  232876
Nevada Beach Campground:                                    232768
William Kent Campground:                                    232874
232769 232875 232876 232768 232874

### TAHOE NATIONAL FOREST
Ahart Campground                                            10039838
Berger                                                      234536
Big Bend Group (Yuba River)                                 234589
Boca Campground                                             234114
Boca Rest Campground                                        234115
Boca Spring                                                 234116
Boyington Mill                                              234113
CAL-IDA                                                     234538
Calpine Lookout                                             234131
Carlton                                                     234547
Chapman                                                     234546
Cold Creek                                                  232869
Cottonwood Creek                                            232871
Coyote Group                                                232032
Diablo                                                      234537
Dark Day Campground                                         10039887
East Meadow Campground                                      232767
Emigrant Group                                              232859
Faucherie                                                   232148
Fiddle Creek                                                234542
Findley Campground                                          232757
Fir Top Campground                                          232756
Forbes Creek Campground                                     232045
French Meadows                                              232047
Gates Group                                                 232048
Giant Gap                                                   232888
Goose Meadows                                               232755
Granite Flat                                                232883
Garden Point Boat-in Campground                             10039993
Hampshire Rocks                                             232261
Hornswoggle Group Campground                                10040012
Indian Springs                                              234592
Indian Valley                                               234548
Lakeside (Truckee)                                          234117
Lewis At French Meadows                                     233180
Little Lasier Meadows Campground                            233130
Loganville                                                  234541
Logger Campground                                           232858
Lower Little Truckee                                        232907
Madrone Cove Boat-in Campground                             10040022
North Fork (CA)                                             234587
Packsaddle                                                  234535
Pass Creek Campground                                       232766
Prosser Family                                              234210
Prosser Ranch Group                                         231977
Ramshorn                                                    234543
Rocky Rest                                                  234549
Salmon Creek                                                234540
Sardine Lake                                                234539
Sardine Peak Lookout                                        252037
Shirttail Creek                                             232887
Sierra                                                      234545
Silver Creek (Truckee)                                      232884
Skillman                                                    234591
Schoolhouse Campground (CA)                                 10040047
Tunnel Mills li                                             232264
Union Flat                                                  234534
Upper Little Truckee                                        232908
White Cloud                                                 232321
Wild Plum                                                   234544
Woodcamp Campground                                         232759
Yuba Pass Campground                                        232371
10039838 234536 234589 234114 234115 234116 234113 234538 234131 234547 234546 232869 232871 232032 234537 10039887 232767 232859 232148 234542 232757 232756 232045 232047 232048 232888 232755 232883 10039993 232261 10040012 234592  234548 234117 233180 233130 234541 232858 232907 10040022 234587 234535 232766 234210 231977 234543 234549 234540 234539 252037 232887 234545 232884 234591 10040047 232264 234534 232908 232321 234544 232759 232371

### YOSEMITE NATIONAL PARK
Upper Pines                                                 232447
Lower Pines                                                 232450
North Pines                                                 232449
Camp 4                                                      10004152
Wawona                                                      232446
Bridalveil Creek Group and Horse Camp                       232453
Hodgdon Meadow                                              232451
Crane Flat Campground                                       232452
Tamarack Flat Campground                                    no reservations
White Wolf Campground                                       no reservations
Yosemite Creek Campground                                   no reservations
Porcupine Flat Campground                                   no reservations
Tuolumne Meadows                                            232448
232447 232450 232449 10004152 232446 232453 232451 232452 232448

### INYO NATIONAL FOREST
Agnew Horse Camp                                            232398
Agnew Meadows Group Camp                                    231956
Aspen Group (Inyo)                                          233101
Big Pine Canyon                                             232236
Big Pine Creek Campground                                   232305
Bishop Park Group                                           232237
Cedar Flat Group Campground                                 273816
Coldwater Campground                                        234290
Convict Lake Campground                                     234311
East Fork California                                        232396
Four Jeffrey                                                233807
French Camp                                                 232395
Grays Meadows                                               232052
Gull Lake Campground                                        10039845
June Lake                                                   232268
Lake George                                                 233377
Lake Mary Campground                                        233404
Lone Pine                                                   232069
McGee Creek                                                 232238
New Shady Rest Campground                                   233860
Obsidian Flat                                               231955
Oh Ridge                                                    232269
Old Shady Rest Campground                                   233830
Onion Valley                                                232077
Palisades Group Campground                                  234663
Pine City                                                   233378
Pine Glen                                                   232270
Pumice Flat Group Camp                                      231957
Reversed Creek Campground                                   233235
Rock Creek Lake                                             233907
Rock Creek Lake Group Camp                                  232239
Sherwin Creek                                               232271
Silver Lake Campground June Lake (CA)                       234330
Table Mountain (Inyo)                                       232240
Trailhead Group                                             232422
Tuff Campground                                             232241
Twin Lakes Campground                                       234329
Upper Sage Flat                                             232242
Whitney Portal                                              232123
232398 231956 233101 232236 232305 232237 273816 234290 234311 232396 233807 232395 232052 10039845 232268 233377 233404 232069 232238 233860 231955 232269 233830 232077 234663 233378 232270 231957 233235 233907 232239 232271 234330 232240 232422 232241 234329 232242 232123

### STANISLAUS NATIONAL FOREST
Lake Alpine - Silver Tip Campground                         274410-
Lake Alpine - Silver Valley Campground                      274314-
Lake Alpine - Pine Marten                                   245489-
Lake Alpine - West Shore                                    10005253-
Lake Alpine - Lodgepole Group                               232343-
Cherry Valley                                               234756-
Big Meadow                                                  232260-
Dimond O (Diamond O?)                                       233772-
Lost Claim                                                  234761-
Pinecrest                                                   232254-
Pines Group Stanislaus                                      233775-
Pioneer Trail                                               232293-
274410 274314 245489 10005253 232343 234756 232260 233772 234761 232254 233775 232293

### ELDORADO NATIONAL FOREST
Bear River Group Campground                                 234172
Big Silver Group                                            233768
Black Oak                                                   232021
Bridal Veil Group Area and Picnic Ground                    251615
Capps Crossing                                              233981
Fashoda                                                     234135
Gerle Creek                                                 232049
Harvey West Cabin                                           234006
Ice House                                                   232061
Loon Lake                                                   232070
Loon Lake Chalet                                            232348
Middle Meadows                                              231953
Pipi Campground                                             232262
Ponderosa Cove Campground                                   233285
Red Fir                                                     232302
Robbs Hut                                                   232349
Silver Creek Group Campground                               234133
Silver Lake East                                            232263
Sly Guard Cabin                                             234654
South Fork Group                                            233879
South Shore Campground                                      234111
Stumpy Meadows                                              232107
Sunset-Union Valley (Sunset-Onion Valley?)                  232083
Van Vleck Bunkhouse                                         233104
Wench Creek                                                 232121
Wolf Creek California                                       232366
Wrights Lake                                                231954
Wrights Lake Equestrian Campground                          251578
Yellowjacket                                                232125
234172 233768 232021 251615 233981 234135 232049 234006 232061 232070 232348 231953 232262 233285 232302 232349 234133 232263 234654 233879 234111 232107 232083 233104 232121 232366 231954 251578 232125

### SIERRA NATIONAL FOREST
Badger Flats Group                                          232808
Catavee                                                     232811
Cedar Bluff                                                 232912
Chilkoot                                                    232882
College                                                     232812
Crane Valley                                                232909
Deer Creek                                                  232813
Dinkey Creek                                                232136
Dirt Flat                                                   233839
Dorabelle Campground                                        232821
Dry Gulch                                                   233842
Fish Creek                                                  232820
Forks Campground                                            232878
Jackass Meadow                                              232803
Kelty Meadow                                                232880
Kinnikinnick                                                232814
Lower Billy Creek                                           232906
Lupine                                                      232802
Mammoth Pool                                                232817
Mono Creek                                                  232804
Mono Hot Springs                                            232805
Rancheria                                                   232815
Recreation Point                                            232910
Rock Creek                                                  232818
Soquel Campground                                           232881
Spring Cove                                                 232801
Summerdale Campground                                       233837
Sweetwater                                                  232877
Texas Flats                                                 232879
Upper Billy Creek Cg                                        232810
